t,pose,hand_l,hand_r,v_wrist_l,v_wrist_r,v_index_l,v_index_r,v_avg
14.4,True,False,False,0.010798014392719038,0.01596801128801592,0.0,0.0,0.01338301284036748
14.5,True,False,False,0.03417056335311917,0.012916987096484414,0.0,0.0,0.02354377522480179
14.6,True,False,False,0.03876769858072292,0.007349331391325893,0.0,0.0,0.023058514986024407
14.7,True,False,False,0.06001378697534451,0.017404344221841707,0.0,0.0,0.038709065598593106
14.8,True,False,False,0.018786695165704245,0.06925330755014103,0.0,0.0,0.04402000135792264
14.9,True,False,False,0.08738362896743385,0.09827847341201515,0.0,0.0,0.0928310511897245
15.0,True,True,False,0.10324893359488839,0.13139801518361655,0.0,0.0,0.11732347438925247
15.1,True,True,True,0.0906468555011119,0.06729704596394707,0.10350896091872103,0.0,0.08715095412792667
15.2,True,True,True,0.03639286099334725,0.03782832071091108,0.060340923201018,0.04199067670740839,0.04413819540317118
15.3,True,True,True,0.019211135318574997,0.03002194451452176,0.0844349305460732,0.09458018069755664,0.057062047769181654
15.4,True,True,True,0.0030326401963899374,0.01928486829710077,0.013618766161551105,0.030125409581737216,0.01651542105919476
15.5,True,True,True,0.00945188133690375,0.004116200192168102,0.03646227848141962,0.042164094992149084,0.02304861375066014
15.6,True,True,True,0.01396320639520395,0.0022045588646042898,0.031547177947557105,0.05098621982918034,0.024675290759136423
15.7,True,True,True,0.009704377386573792,0.010098671238260696,0.04520082502793071,0.02636250393506841,0.022841594396958403
15.8,True,True,True,0.0011012882399065312,0.002624274269484012,0.05285382529426454,0.04301292819531084,0.02489807899974148
15.9,True,True,True,0.014299062850059762,0.0067140728717685495,0.012569053252118538,0.0549050017299372,0.022121797675971014
16.0,True,True,True,0.01757185862972928,0.00624183549494129,0.022214621237636737,0.032232672235756106,0.019565246899515852
16.1,True,True,True,0.020733938289453194,0.010821873489832741,0.023391914773839676,0.029426462390871842,0.021093547235999363
16.2,True,True,True,0.004149285148962684,0.003055338193508911,0.012294275654418613,0.06638090235314116,0.021469950337507843
16.3,True,True,True,0.01239503202543064,0.0038838644496848166,0.03125102175079901,0.012231824003942734,0.0149404355574643
16.4,True,True,True,0.005419206569228967,0.010778408867588692,0.007448065181736842,0.004075338943062069,0.006930254890404142
16.5,True,True,True,0.010794870416842427,0.010694128664096863,0.03012662107128537,0.023542857302224537,0.0187896193636123
16.6,True,True,True,0.09416728504375455,0.06854376659699392,0.154851572109195,0.1235420460356695,0.11027616744640324
16.7,True,False,True,0.1443479766139875,0.10666655829580313,0.0,0.13055893413322023,0.12719115634767028
16.8,True,False,False,0.12297869714984114,0.08808736131063111,0.0,0.0,0.10553302923023612
16.9,True,False,False,0.06878136505727427,0.08122816080458116,0.0,0.0,0.07500476293092771
17.0,True,False,False,0.002529684022958283,0.04033201955436374,0.0,0.0,0.021430851788661012
17.1,True,False,False,0.07623509940847459,0.028695191707905847,0.0,0.0,0.05246514555819022
17.2,True,False,False,0.02186497101910309,0.05655689527152384,0.0,0.0,0.039210933145313466
17.3,True,False,False,0.01103883588917947,0.020429650356193187,0.0,0.0,0.01573424312268633
17.4,True,False,False,0.020937580445147166,0.01859577459430797,0.0,0.0,0.01976667751972757
17.5,True,False,False,0.05922444084806213,0.04126627682266793,0.0,0.0,0.05024535883536503
17.6,True,True,False,0.07018808847075997,0.14763156646076991,0.0,0.0,0.10890982746576494
17.7,True,False,False,0.15476004978146388,0.11543167667272972,0.0,0.0,0.1350958632270968
17.8,True,True,True,0.12422594132818014,0.07581786097435568,0.0,0.0,0.10002190115126791
17.9,True,True,True,0.052186487110356346,0.0075172219753837175,0.08043038792421126,0.01793815740187058,0.039518063602955476
18.0,True,True,True,0.014066173311518786,0.005042643527662144,0.02230540001332794,0.0038756137245535816,0.011322457644265612
18.1,True,True,True,0.004250629456283847,0.0019316853114498443,0.02469291695424426,0.004508308942666185,0.008845885166161034
18.2,True,True,True,0.002409450677369469,0.005134975619824564,0.009066229085046985,0.004086957202806482,0.005174403146261875
18.3,True,True,True,0.0053661604018612865,0.005818497293452714,0.027311599550297338,0.0030185281581573114,0.010378696350942162
18.4,True,True,True,0.0038403975185626925,0.003447942053331127,0.028010519393641135,0.002867512219220874,0.009541592796188957
18.5,True,True,True,0.006328429784651805,0.007894521309580824,0.015824581751899415,0.008551011387379256,0.009649636058377825
18.6,True,True,True,0.00667418758752898,0.006963966748102112,0.014943570863094752,0.0030075466365713805,0.007897317958824306
18.7,True,True,True,0.013892990692302357,0.004750437463996675,0.026087359653696095,0.0025186233406828346,0.01181235278766949
18.8,True,True,True,0.007656637449019505,0.004446883868023054,0.0208878893707186,0.0039020360134858385,0.00922336167531175
18.9,True,True,True,0.004693863441073125,0.004992789371268818,0.012529526902010769,0.0023309030109327777,0.006136770681321372
19.0,True,True,True,0.00908611844202579,0.005217934363988763,0.01504334516130547,0.0019825578728302116,0.007832488960037558
19.1,True,True,True,0.008649521845957079,0.005449518546103945,0.022890466582568807,0.006864092679618958,0.010963399913562197
19.2,True,True,True,0.006277499617858892,0.0024586059152600197,0.10458393906810771,0.004999191063808238,0.029579808916258717
19.3,True,True,True,0.006481366774214634,0.012862828745535796,0.06951259317507275,0.028483116050873697,0.02933497618642422
19.4,True,True,True,0.07888757671532094,0.051181747214761576,0.13191390746497617,0.036977107128771565,0.07474008463095756
19.5,True,False,False,0.13680528824592655,0.09335762819201489,0.0,0.0,0.11508145821897073
19.6,True,False,False,0.1446643393430198,0.09252707663424836,0.0,0.0,0.11859570798863409
19.7,True,False,False,0.030826060591677345,0.07294348634511912,0.0,0.0,0.05188477346839823
19.8,True,False,False,0.09348526357208865,0.033673028129185954,0.0,0.0,0.0635791458506373
19.9,True,False,False,0.03885428893302004,0.00820214169909665,0.0,0.0,0.023528215316058344
20.0,True,False,False,0.05486814446384312,0.022133556978934064,0.0,0.0,0.03850085072138859
20.1,True,False,False,0.08320735168546706,0.034063929554298926,0.0,0.0,0.058635640619882995
20.2,True,False,False,0.014920030199030685,0.05656706241494072,0.0,0.0,0.0357435463069857
20.3,True,False,False,0.019321466682265826,0.06537491513718989,0.0,0.0,0.042348190909727856
20.4,True,True,True,0.1791368966145016,0.10833087735449182,0.0,0.0,0.1437338869844967
20.5,True,True,True,0.044626628859691445,0.057353666891552586,0.08790037352742056,0.06446037453725777,0.0635852609539806
20.6,True,True,True,0.028263439051071943,0.013800813729900496,0.029847773293094106,0.051173121509910525,0.030771286895994267
20.7,True,True,True,0.040708143745158666,0.024492266487607686,0.01851115206916517,0.021780823560529468,0.026373096465615246
20.8,True,True,True,0.054477680432031585,0.045079478336174005,0.00808745901757744,0.053816724847249656,0.04036533565825817
20.9,True,True,True,0.01866257545365141,0.010422684566897855,0.05789274957202845,0.04888372673636393,0.03396543408223541
21.0,True,True,True,0.019680124914859556,0.02035759315483937,0.05098550632082131,0.05354158405392256,0.0361412021111107
21.1,True,True,True,0.05225693072234759,0.03875000385541182,0.06635881475977967,0.08010259031250705,0.05936708491251153
21.2,True,True,True,0.03967601981061527,0.04797918409959145,0.059025575088671366,0.07078648483803465,0.05436681595922818
21.3,True,True,True,0.005757529163893624,0.007153805219558235,0.0008279288344708404,0.00865429532261493,0.005598389635134407
21.4,True,True,True,0.008793691268037886,0.007483199886926564,0.0028438552380813083,0.0025636600659773136,0.005421101614755768
21.5,True,True,True,0.011525623128909722,0.007357524137347943,0.0019340640056614508,0.005042256754237283,0.0064648670065391
21.6,True,True,True,0.00589356172354767,0.0021772999611682797,0.0024696576842445548,0.001658757051358449,0.0030498191050797384
21.7,True,True,True,0.0028867341531200593,0.014427302408208414,0.003475126419282983,0.0035404498186631657,0.006082403199818656
21.8,True,True,True,0.0068143092097431865,0.0006263835111198471,0.0037946440222413123,0.003561989013994753,0.0036993314392747747
21.9,True,True,True,0.008364237189471092,0.00962016763650082,0.007186005994652815,0.004972886824702376,0.007535824411331776
22.0,True,True,True,0.030985252223329585,0.02237760117606206,0.10360476670634439,0.04494496920670175,0.05047814732810944
22.1,True,False,False,0.09200424115413336,0.05055415940273539,0.0,0.0,0.07127920027843437
22.2,True,False,False,0.12146952919574724,0.09605050632618477,0.0,0.0,0.108760017760966
22.3,True,False,False,0.09182550454464021,0.08445242423951403,0.0,0.0,0.08813896439207712
22.4,True,False,False,0.04203683384354292,0.05784675273571801,0.0,0.0,0.049941793289630464
22.5,True,False,False,0.047986227674436055,0.008851349769414476,0.0,0.0,0.028418788721925266
22.6,True,False,False,0.1057545566526863,0.04188110121024671,0.0,0.0,0.0738178289314665
22.7,False,False,False,0.0,0.0,0.0,0.0,0.0
22.8,False,False,False,0.0,0.0,0.0,0.0,0.0
22.9,False,False,False,0.0,0.0,0.0,0.0,0.0
23.0,False,False,False,0.0,0.0,0.0,0.0,0.0
23.1,False,False,False,0.0,0.0,0.0,0.0,0.0
23.2,False,False,False,0.0,0.0,0.0,0.0,0.0
23.3,False,False,False,0.0,0.0,0.0,0.0,0.0
23.4,False,False,False,0.0,0.0,0.0,0.0,0.0
